rikishi1,odds1,rikishi2,odds2
Aminishiki,1.85,Kakuryu,1.85
Shotenro,2.4,Takekaze,1.5
Shohozan,5.5,Kisenosato,1.11
Harumafuji,1.25,Myogiryu,3.55
Aoiyama,2.4,Kaisei,1.5
Miyabiyama,1.65,Toyohibiki,2.1
Hakuho,1.05,Toyonoshima,7.8
Aran,2,Tochinoshin,1.72
Gagamaru,2.2,Goeido,1.6
Homasho,3.2,Tochiozan,1.3
Aran,2.3,Goeido,1.55
Shohozan,2.4,Kakuryu,1.5
Harumafuji,1.2,Gagamaru,4
Aminishiki,1.55,Miyabiyama,2.3
Tochiozan,1.65,Takekaze,2.1
Hakuho,1.07,Homasho,6.8
Toyonoshima,1.55,Tochinoshin,2.3
Aoiyama,4,Kisenosato,1.2
Myogiryu,1.42,Kaisei,2.65
Tochinoshin,2.1,Goeido,1.65
Harumafuji,1.22,Homasho,3.8
Aminishiki,1.65,Takekaze,2.1
Hakuho,1.07,Gagamaru,6.8
Toyonoshima,4,Kisenosato,1.2
Aoiyama,2.3,Kakuryu,1.55
Myogiryu,1.5,Aran,2.4
Hakuho,1.07,Aoiyama,6.8
Myogiryu,1.55,Shohozan,2.3
Kaisei,2.3,Goeido,1.55
Kotooshu,1.65,Toyonoshima,2.1
Gagamaru,3.2,Kisenosato,1.3
Harumafuji,1.2,Tochinoshin,4
Aran,3.2,Kakuryu,1.3
Homasho,1.5,Takekaze,2.4
Tochinoshin,3.8,Kisenosato,1.22
Tochiozan,2.1,Toyonoshima,1.65
Homasho,2.3,Kakuryu,1.55
Hakuho,1.07,Aran,6.8
Kotooshu,1.3,Shohozan,3.2
Aoiyama,2,Goeido,1.72
Harumafuji,1.25,Kaisei,3.55
Harumafuji,1.22,Shohozan,3.8
Aminishiki,1.5,Tokitenku,2.4
Gagamaru,2.95,Baruto,1.35
Kotoshogiku,1.25,Homasho,3.55
Myogiryu,1.65,Aoiyama,2.1
Aran,3.2,Kisenosato,1.3
Hakuho,1.07,Kaisei,6.8
Kotooshu,1.4,Goeido,2.72
Tochinoshin,3.2,Kakuryu,1.3
Takekaze,1.5,Toyonoshima,2.4
Toyohibiki,2.4,Toyonoshima,1.5
Harumafuji,1.2,Aran,4
Myogiryu,2,Homasho,1.72
Kaisei,2.4,Kisenosato,1.5
Kotoshogiku,1.35,Tochinoshin,2.95
Goeido,3,Kakuryu,1.34
Aoiyama,2.2,Baruto,1.6
Hakuho,1.07,Shohozan,6.8
Kotooshu,1.35,Gagamaru,2.95
Aminishiki,2.55,Tochiozan,1.45
